Dataset,Model,Feature_Count,Training_Time,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC,Specificity,AUPRC,TN,FP,FN,TP
hematology,DecisionTree,1000,0.05101585388183594,0.8028169014084507,0.8260869565217391,0.8636363636363636,0.8444444444444444,0.8631687242798353,0.5766373326278647,0.7037037037037037,0.9127030200121391,57,24,18,114
hematology,BiLSTM,1000,10.940634489059448,0.8450704225352113,0.8721804511278195,0.8787878787878788,0.8754716981132076,0.8423120089786756,0.670543901108148,0.7901234567901234,0.8631374438931253,64,17,16,116
hematology,XGBoost,1250,1.1019341945648193,0.8685446009389671,0.8880597014925373,0.9015151515151515,0.8947368421052632,0.9259726898615788,0.7199074197438118,0.8148148148148148,0.9462100512804086,66,15,13,119
hematology,RandomForest,1250,7.939712762832642,0.8450704225352113,0.8721804511278195,0.8787878787878788,0.8754716981132076,0.9271885521885522,0.670543901108148,0.7901234567901234,0.9495642378482642,64,17,16,116
hematology,LogisticRegression,1250,5.6356141567230225,0.8403755868544601,0.8712121212121212,0.8712121212121212,0.8712121212121212,0.9057706696595587,0.6613355780022446,0.7901234567901234,0.9355029638794854,64,17,17,115
hematology,SVM,1250,0.6469578742980957,0.8403755868544601,0.8769230769230769,0.8636363636363636,0.8702290076335878,0.8927702955480733,0.6630736533652591,0.8024691358024691,0.9075400773243325,65,16,18,114
hematology,DecisionTree,1250,0.051270484924316406,0.755868544600939,0.7702702702702703,0.8636363636363636,0.8142857142857143,0.8298260381593716,0.4679621448243106,0.5802469135802469,0.8915370286288478,47,34,18,114
hematology,BiLSTM,1250,9.413962364196777,0.8403755868544601,0.8712121212121212,0.8712121212121212,0.8712121212121212,0.8617190422745978,0.6613355780022446,0.7901234567901234,0.888921522036924,64,17,17,115
hematology,XGBoost,1500,1.087331771850586,0.8497652582159625,0.890625,0.8636363636363636,0.8769230769230769,0.9243827160493827,0.6848025685065984,0.8271604938271605,0.9499289342875592,67,14,18,114
hematology,RandomForest,1500,9.11628532409668,0.8403755868544601,0.8656716417910447,0.8787878787878788,0.8721804511278195,0.929339693228582,0.6598446385430942,0.7777777777777778,0.9556767993806379,63,18,16,116
hematology,LogisticRegression,1500,6.765667676925659,0.8403755868544601,0.8769230769230769,0.8636363636363636,0.8702290076335878,0.9099794238683129,0.6630736533652591,0.8024691358024691,0.937812267147374,65,16,18,114
hematology,SVM,1500,0.7582385540008545,0.8403755868544601,0.8828125,0.8560606060606061,0.8692307692307693,0.8999719416386083,0.6650539972783415,0.8148148148148148,0.9141438852311697,66,15,19,113
hematology,DecisionTree,1500,0.054181814193725586,0.7793427230046949,0.7972027972027972,0.8636363636363636,0.8290909090909091,0.8609240553684998,0.5225520159986428,0.6419753086419753,0.9155383943683583,52,29,18,114
hematology,BiLSTM,1500,9.146276712417603,0.8732394366197183,0.8723404255319149,0.9318181818181818,0.9010989010989011,0.873129442573887,0.7282236925561898,0.7777777777777778,0.8936918734617005,63,18,9,123
hematology,XGBoost,1750,1.0510978698730469,0.8591549295774648,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.9270950243172466,0.7011784511784511,0.8148148148148148,0.9455671011183328,66,15,15,117
hematology,RandomForest,1750,9.62116551399231,0.8544600938967136,0.8854961832061069,0.8787878787878788,0.8821292775665399,0.9265338570894127,0.6919865799997807,0.8148148148148148,0.9504085335561241,66,15,16,116
hematology,LogisticRegression,1750,6.97014594078064,0.8356807511737089,0.8702290076335878,0.8636363636363636,0.8669201520912547,0.9081088664421999,0.6522365418282723,0.7901234567901234,0.9359075330038968,64,17,18,114
hematology,SVM,1750,0.9181408882141113,0.8450704225352113,0.889763779527559,0.8560606060606061,0.8725868725868726,0.9010942760942761,0.675989046954374,0.8271604938271605,0.9177599769122579,67,14,19,113
hematology,DecisionTree,1750,0.06586050987243652,0.7887323943661971,0.7843137254901961,0.9090909090909091,0.8421052631578947,0.784371492704826,0.5414245615832864,0.5925925925925926,0.8380088019445344,48,33,12,120
hematology,BiLSTM,1750,9.719921112060547,0.8497652582159625,0.8968253968253969,0.8560606060606061,0.875968992248062,0.8907126823793492,0.6869472789160966,0.8395061728395061,0.9030999028924334,68,13,19,113
hematology,XGBoost,2000,1.2109549045562744,0.8356807511737089,0.875968992248062,0.8560606060606061,0.8659003831417624,0.9286849981294426,0.6541394946397703,0.8024691358024691,0.9566388668758989,65,16,19,113
hematology,RandomForest,2000,9.854238748550415,0.8450704225352113,0.8666666666666667,0.8863636363636364,0.8764044943820225,0.9270014964459409,0.6692306948054033,0.7777777777777778,0.9516360005499049,63,18,15,117
hematology,LogisticRegression,2000,8.881987810134888,0.8356807511737089,0.8702290076335878,0.8636363636363636,0.8669201520912547,0.9080153385708941,0.6522365418282723,0.7901234567901234,0.9358035241842715,64,17,18,114
hematology,SVM,2000,1.0533263683319092,0.8450704225352113,0.889763779527559,0.8560606060606061,0.8725868725868726,0.9017489711934156,0.675989046954374,0.8271604938271605,0.9199517321221782,67,14,19,113
hematology,DecisionTree,2000,0.052843332290649414,0.784037558685446,0.8071428571428572,0.8560606060606061,0.8308823529411765,0.8023288439955107,0.534661837571246,0.6666666666666666,0.8587912546055121,54,27,19,113
hematology,BiLSTM,2000,9.881992816925049,0.8450704225352113,0.896,0.8484848484848485,0.8715953307392996,0.8958567153011597,0.6782907631326602,0.8395061728395061,0.9051219876477744,68,13,20,112
hematology,XGBoost,2250,1.2238402366638184,0.8544600938967136,0.8796992481203008,0.8863636363636364,0.8830188679245283,0.9278432472876919,0.6905139585656475,0.8024691358024691,0.9518054156981425,65,16,15,117
hematology,RandomForest,2250,10.012152194976807,0.8403755868544601,0.8656716417910447,0.8787878787878788,0.8721804511278195,0.9318649457538347,0.6598446385430942,0.7777777777777778,0.9578208416062866,63,18,16,116
hematology,LogisticRegression,2250,10.425596714019775,0.8356807511737089,0.8702290076335878,0.8636363636363636,0.8669201520912547,0.9064253647586981,0.6522365418282723,0.7901234567901234,0.93450406673682,64,17,18,114
hematology,SVM,2250,1.241089105606079,0.8450704225352113,0.889763779527559,0.8560606060606061,0.8725868725868726,0.9016554433221099,0.675989046954374,0.8271604938271605,0.9201676987112749,67,14,19,113
hematology,DecisionTree,2250,0.06510019302368164,0.8028169014084507,0.835820895522388,0.8484848484848485,0.8421052631578947,0.8617658062102507,0.5797609302754708,0.7283950617283951,0.9098217059386092,59,22,20,112
hematology,BiLSTM,2250,10.86889934539795,0.8262910798122066,0.8625954198473282,0.8560606060606061,0.8593155893536122,0.869668911335578,0.632361522742518,0.7777777777777778,0.8856798931826679,63,18,19,113
