Model,Run,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC,Specificity,AUPRC,TN,FP,FN,TP
XGBoost,25,0.8549382716049383,0.8796992481203008,0.8841309823677582,0.8819095477386935,0.9082862504641382,0.6939273397887044,0.8087649402390438,0.9315238289005555,203,48,46,351
XGBoost,26,0.8472222222222222,0.8725,0.8790931989924433,0.875784190715182,0.9066906178811205,0.6774270688148343,0.796812749003984,0.9297465444135391,200,51,48,349
XGBoost,27,0.8626543209876543,0.8888888888888888,0.8866498740554156,0.8877679697351829,0.9096711391210975,0.71083407692738,0.8247011952191236,0.9316080495332977,207,44,45,352
XGBoost,28,0.8425925925925926,0.8753180661577609,0.8664987405541562,0.8708860759493671,0.9071522474334399,0.6693745697762743,0.8047808764940239,0.9296370333885445,202,49,53,344
XGBoost,29,0.8410493827160493,0.8712121212121212,0.8690176322418136,0.8701134930643127,0.9064598031049605,0.6653464722078016,0.796812749003984,0.9298002559388406,200,51,52,345
XGBoost,30,0.8564814814814815,0.88,0.8866498740554156,0.8833124215809285,0.9035595652653868,0.6969798396572152,0.8087649402390438,0.9245664380857136,203,48,45,352
XGBoost,31,0.8580246913580247,0.8784119106699751,0.8916876574307305,0.885,0.9101628749485685,0.6996777265861697,0.8047808764940239,0.9328737183617971,202,49,43,354
XGBoost,32,0.8441358024691358,0.8737373737373737,0.871536523929471,0.8726355611601513,0.9087679508665589,0.6718447014534557,0.8007968127490039,0.9310436791969924,201,50,51,346
XGBoost,33,0.8580246913580247,0.8841309823677582,0.8841309823677582,0.8841309823677582,0.9088582696920128,0.7008640500968418,0.8167330677290837,0.929967957098015,205,46,46,351
XGBoost,34,0.8410493827160493,0.875,0.8639798488664987,0.8694550063371356,0.9057673587764811,0.6664074723355989,0.8047808764940239,0.9307749422626199,202,49,54,343
XGBoost,35,0.8333333333333334,0.8639798488664987,0.8639798488664987,0.8639798488664987,0.9060383152528426,0.6488404066354231,0.7848605577689243,0.9302795172670835,197,54,54,343
XGBoost,36,0.8472222222222222,0.882051282051282,0.8664987405541562,0.8742058449809402,0.9059881381275904,0.6799203419173504,0.8167330677290837,0.9302468028022269,205,46,53,344
XGBoost,37,0.845679012345679,0.8684863523573201,0.8816120906801007,0.875,0.9073629913594989,0.6735460473983863,0.7888446215139442,0.9312275580523298,198,53,47,350
XGBoost,38,0.8441358024691358,0.8737373737373737,0.871536523929471,0.8726355611601513,0.9090188364928198,0.6718447014534557,0.8007968127490039,0.9306631722870251,201,50,51,346
XGBoost,39,0.8503086419753086,0.8712871287128713,0.8866498740554156,0.8789013732833958,0.9092897929691811,0.6831597574806142,0.7928286852589641,0.931014988507337,199,52,45,352
XGBoost,40,0.8441358024691358,0.8663366336633663,0.8816120906801007,0.8739076154806492,0.9073730267845495,0.6700833847374394,0.7848605577689243,0.9326356010453761,197,54,47,350
XGBoost,41,0.8441358024691358,0.87,0.8765743073047859,0.8732747804265998,0.9043222575692194,0.6709094785340407,0.7928286852589641,0.9298815596725198,199,52,49,348
XGBoost,42,0.8533950617283951,0.8775,0.8841309823677582,0.8808030112923463,0.9070117514827342,0.6904622493764215,0.8047808764940239,0.9300584553243921,202,49,46,351
XGBoost,43,0.8425925925925926,0.8678304239401496,0.8765743073047859,0.8721804511278195,0.9067106887312212,0.6674313499042225,0.7888446215139442,0.9300642310450263,198,53,49,348
XGBoost,44,0.8533950617283951,0.8793969849246231,0.8816120906801007,0.8805031446540881,0.9071221411582888,0.6908868197025544,0.8087649402390438,0.9304257647555374,203,48,47,350
XGBoost,45,0.8472222222222222,0.8801020408163265,0.8690176322418136,0.8745247148288974,0.9075135227352554,0.6793676176559311,0.8127490039840638,0.9301182059798155,204,47,52,345
XGBoost,46,0.8425925925925926,0.8811369509043928,0.8589420654911839,0.8698979591836735,0.9060483506778929,0.6711109329394535,0.8167330677290837,0.9316329099815626,205,46,56,341
XGBoost,47,0.8441358024691358,0.8663366336633663,0.8816120906801007,0.8739076154806492,0.9072024245586922,0.6700833847374394,0.7848605577689243,0.9319983927790743,197,54,47,350
XGBoost,48,0.8518518518518519,0.8790931989924433,0.8790931989924433,0.8790931989924433,0.9058877838770861,0.6878581392314872,0.8087649402390438,0.9309403414341667,203,48,48,349
XGBoost,49,0.8379629629629629,0.8686868686868687,0.8664987405541562,0.8675914249684742,0.9094403243449376,0.6588482429621476,0.7928286852589641,0.9315964570983271,199,52,53,344
XGBoost,50,0.8441358024691358,0.8681592039800995,0.8790931989924433,0.8735919899874843,0.9084267464148444,0.6704826886121024,0.7888446215139442,0.9315484060746908,198,53,48,349
LogisticRegression,1,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325388621835077,0.4829264234425331,0.6215139442231076,0.8819450331169483,156,95,61,336
LogisticRegression,2,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325288267584574,0.4829264234425331,0.6215139442231076,0.8819591623508196,156,95,61,336
LogisticRegression,3,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325990747338103,0.4829264234425331,0.6215139442231076,0.8820493019780151,156,95,61,336
LogisticRegression,4,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8324886850582556,0.4829264234425331,0.6215139442231076,0.8819119784673515,156,95,61,336
LogisticRegression,5,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325790038837095,0.4829264234425331,0.6215139442231076,0.8820239152152722,156,95,61,336
LogisticRegression,6,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325589330336085,0.4829264234425331,0.6215139442231076,0.8819523624752739,156,95,61,336
LogisticRegression,7,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325488976085582,0.4829264234425331,0.6215139442231076,0.8819666324750784,156,95,61,336
LogisticRegression,8,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325288267584574,0.4829264234425331,0.6215139442231076,0.881990777446912,156,95,61,336
LogisticRegression,9,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325187913334069,0.4829264234425331,0.6215139442231076,0.8819514585804578,156,95,61,336
LogisticRegression,10,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325488976085582,0.4829264234425331,0.6215139442231076,0.8819764936272187,156,95,61,336
LogisticRegression,11,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325488976085582,0.4829264234425331,0.6215139442231076,0.8819766000157646,156,95,61,336
LogisticRegression,12,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325488976085583,0.4829264234425331,0.6215139442231076,0.8819529896123909,156,95,61,336
LogisticRegression,13,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325388621835077,0.4829264234425331,0.6215139442231076,0.8819474654517228,156,95,61,336
LogisticRegression,14,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325187913334069,0.4829264234425331,0.6215139442231076,0.8819463084627738,156,95,61,336
LogisticRegression,15,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325589330336086,0.4829264234425331,0.6215139442231076,0.8819620228409464,156,95,61,336
LogisticRegression,16,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325187913334069,0.4829264234425331,0.6215139442231076,0.8819411351541276,156,95,61,336
LogisticRegression,17,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325388621835078,0.4829264234425331,0.6215139442231076,0.8819833333916526,156,95,61,336
LogisticRegression,18,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325187913334069,0.4829264234425331,0.6215139442231076,0.8819578032179156,156,95,61,336
LogisticRegression,19,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325388621835077,0.4829264234425331,0.6215139442231076,0.8819618927430651,156,95,61,336
LogisticRegression,20,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325187913334069,0.4829264234425331,0.6215139442231076,0.8819615439776117,156,95,61,336
LogisticRegression,21,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325187913334069,0.4829264234425331,0.6215139442231076,0.8819412607711068,156,95,61,336
LogisticRegression,22,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325589330336086,0.4829264234425331,0.6215139442231076,0.8819788006824889,156,95,61,336
LogisticRegression,23,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325589330336086,0.4829264234425331,0.6215139442231076,0.8819679390787755,156,95,61,336
LogisticRegression,24,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325589330336087,0.4829264234425331,0.6215139442231076,0.881974123586808,156,95,61,336
LogisticRegression,25,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325488976085583,0.4829264234425331,0.6215139442231076,0.8819789195539534,156,95,61,336
LogisticRegression,26,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325087559083565,0.4829264234425331,0.6215139442231076,0.8819785157593336,156,95,61,336
LogisticRegression,27,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325589330336086,0.4829264234425331,0.6215139442231076,0.8819750911183469,156,95,61,336
LogisticRegression,28,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325388621835077,0.4829264234425331,0.6215139442231076,0.8820066258415709,156,95,61,336
LogisticRegression,29,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325488976085582,0.4829264234425331,0.6215139442231076,0.8819958408675739,156,95,61,336
LogisticRegression,30,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.832568968458659,0.4829264234425331,0.6215139442231076,0.8819830010544679,156,95,61,336
LogisticRegression,31,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325187913334069,0.4829264234425331,0.6215139442231076,0.8819806588899406,156,95,61,336
LogisticRegression,32,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325288267584574,0.4829264234425331,0.6215139442231076,0.8819487922224016,156,95,61,336
LogisticRegression,33,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8324987204833061,0.4829264234425331,0.6215139442231076,0.8819509356991109,156,95,61,336
LogisticRegression,34,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325388621835077,0.4829264234425331,0.6215139442231076,0.8819696474420772,156,95,61,336
LogisticRegression,35,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325087559083565,0.4829264234425331,0.6215139442231076,0.881942668570205,156,95,61,336
LogisticRegression,36,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325589330336087,0.4829264234425331,0.6215139442231076,0.8819811955070433,156,95,61,336
LogisticRegression,37,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325087559083566,0.4829264234425331,0.6215139442231076,0.8819588677883081,156,95,61,336
LogisticRegression,38,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325187913334071,0.4829264234425331,0.6215139442231076,0.8819417956901623,156,95,61,336
LogisticRegression,39,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325288267584573,0.4829264234425331,0.6215139442231076,0.881943201095559,156,95,61,336
LogisticRegression,40,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325288267584574,0.4829264234425331,0.6215139442231076,0.8819678492986862,156,95,61,336
LogisticRegression,41,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325087559083566,0.4829264234425331,0.6215139442231076,0.8819571909430974,156,95,61,336
LogisticRegression,42,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325689684586591,0.4829264234425331,0.6215139442231076,0.88201196946636,156,95,61,336
LogisticRegression,43,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325488976085582,0.4829264234425331,0.6215139442231076,0.8819742581801685,156,95,61,336
LogisticRegression,44,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325388621835077,0.4829264234425331,0.6215139442231076,0.8819699618466466,156,95,61,336
LogisticRegression,45,0.7592592592592593,0.7795823665893271,0.8463476070528967,0.8115942028985508,0.8325689684586591,0.4829264234425331,0.6215139442231076,0.8819986566765969,156,95,61,336
