Model,Run,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC,Specificity,AUPRC,TN,FP,FN,TP
RandomForest,9,0.8450704225352113,0.8837209302325582,0.8636363636363636,0.8735632183908046,0.9280303030303031,0.6739281201699892,0.8148148148148148,0.9437126575774133,66,15,18,114
RandomForest,10,0.8544600938967136,0.8914728682170543,0.8712121212121212,0.8812260536398467,0.92831088664422,0.693716745700208,0.8271604938271605,0.9495766005043577,67,14,17,115
RandomForest,11,0.8544600938967136,0.8854961832061069,0.8787878787878788,0.8821292775665399,0.9344837261503929,0.6919865799997807,0.8148148148148148,0.9555477285499583,66,15,16,116
RandomForest,12,0.8591549295774648,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.9251309390198279,0.7011784511784511,0.8148148148148148,0.936663840613621,66,15,15,117
RandomForest,13,0.8544600938967136,0.8914728682170543,0.8712121212121212,0.8812260536398467,0.9353254769921436,0.693716745700208,0.8271604938271605,0.955715138136181,67,14,17,115
RandomForest,14,0.8497652582159625,0.8846153846153846,0.8712121212121212,0.8778625954198473,0.9312102506546951,0.6829044155341443,0.8148148148148148,0.9540897423459946,66,15,17,115
RandomForest,15,0.8497652582159625,0.8846153846153846,0.8712121212121212,0.8778625954198473,0.9274691358024691,0.6829044155341443,0.8148148148148148,0.9487905143207823,66,15,17,115
RandomForest,16,0.8544600938967136,0.8854961832061069,0.8787878787878788,0.8821292775665399,0.9339225589225589,0.6919865799997807,0.8148148148148148,0.9517420912646781,66,15,16,116
RandomForest,17,0.8450704225352113,0.8837209302325582,0.8636363636363636,0.8735632183908046,0.9309296670407782,0.6739281201699892,0.8148148148148148,0.9524983878425729,66,15,18,114
RandomForest,18,0.8497652582159625,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.9303684998129443,0.6812570145903479,0.8024691358024691,0.9482001030184088,65,16,16,116
RandomForest,19,0.8591549295774648,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.9324261129816686,0.7011784511784511,0.8148148148148148,0.953233491401019,66,15,15,117
RandomForest,20,0.863849765258216,0.8872180451127819,0.8939393939393939,0.8905660377358491,0.932052001496446,0.7104840160231468,0.8148148148148148,0.9450263254552804,66,15,14,118
RandomForest,21,0.8544600938967136,0.8854961832061069,0.8787878787878788,0.8821292775665399,0.9284979423868314,0.6919865799997807,0.8148148148148148,0.9476881347548627,66,15,16,116
RandomForest,22,0.8403755868544601,0.8712121212121212,0.8712121212121212,0.8712121212121212,0.9328937523381968,0.6613355780022446,0.7901234567901234,0.9551416791797347,64,17,17,115
RandomForest,23,0.8450704225352113,0.8778625954198473,0.8712121212121212,0.8745247148288974,0.9258791619902731,0.6721115609140265,0.8024691358024691,0.9458292084497415,65,16,17,115
RandomForest,24,0.8591549295774648,0.8923076923076924,0.8787878787878788,0.8854961832061069,0.9359801720912831,0.7027351777030294,0.8271604938271605,0.9540050744468168,67,14,16,116
RandomForest,25,0.8544600938967136,0.8854961832061069,0.8787878787878788,0.8821292775665399,0.9262532734754957,0.6919865799997807,0.8148148148148148,0.9464568129757601,66,15,16,116
RandomForest,26,0.8591549295774648,0.8923076923076924,0.8787878787878788,0.8854961832061069,0.9342966704077815,0.7027351777030294,0.8271604938271605,0.9524390105283678,67,14,16,116
RandomForest,27,0.8544600938967136,0.8854961832061069,0.8787878787878788,0.8821292775665399,0.9319584736251403,0.6919865799997807,0.8148148148148148,0.9510472424845627,66,15,16,116
RandomForest,28,0.8497652582159625,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.9293396932285821,0.6812570145903479,0.8024691358024691,0.9488140180629466,65,16,16,116
RandomForest,29,0.8497652582159625,0.8846153846153846,0.8712121212121212,0.8778625954198473,0.9325196408529742,0.6829044155341443,0.8148148148148148,0.9522941652713757,66,15,17,115
RandomForest,30,0.8544600938967136,0.8854961832061069,0.8787878787878788,0.8821292775665399,0.9328002244668911,0.6919865799997807,0.8148148148148148,0.95620748329772,66,15,16,116
RandomForest,31,0.8544600938967136,0.8854961832061069,0.8787878787878788,0.8821292775665399,0.9307426112981669,0.6919865799997807,0.8148148148148148,0.9511928743374372,66,15,16,116
RandomForest,32,0.8497652582159625,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.928030303030303,0.6812570145903479,0.8024691358024691,0.9482996240549171,65,16,16,116
RandomForest,33,0.8544600938967136,0.8854961832061069,0.8787878787878788,0.8821292775665399,0.9273756079311635,0.6919865799997807,0.8148148148148148,0.9406011865110868,66,15,16,116
RandomForest,34,0.8591549295774648,0.8923076923076924,0.8787878787878788,0.8854961832061069,0.9285914702581369,0.7027351777030294,0.8271604938271605,0.9491756240254876,67,14,16,116
RandomForest,35,0.8497652582159625,0.8846153846153846,0.8712121212121212,0.8778625954198473,0.9307426112981669,0.6829044155341443,0.8148148148148148,0.9498625654484807,66,15,17,115
