feature_index,feature_name,F_score,p_value,F_score_normalized,RF_gini_importance,RF_perm_importance,RF_combined_importance,combined_score,rank
1399,DIASTOLIC_BLOOD_PRESSURE_t29,30.59359391858981,3.500257706436649e-08,0.08797134248699308,0.0017715497815411127,0.0027777777777776903,0.20662772886547792,0.1472995356762355,115
1671,RESPIRATION_RATE_t27,25.353113815513773,5.102017804879036e-07,0.07290243390532275,0.001765317552948158,0.003395061728394966,0.22095628160055134,0.14692935775293703,116
842,SYSTOLIC_BLOOD_PRESSURE_t20,47.53132968688632,6.776493468313515e-12,0.13667550448221405,0.001424636778090006,0.0009259259259258746,0.15605803178494532,0.14636676813357968,117
554,TEMPERATURE_t6,54.833819758425896,1.7648943100842367e-13,0.15767368654610428,0.0018842014966707382,-0.00046296296296296504,0.13306091025507874,0.1453672984005915,118
1128,MEAN_ARTERIAL_PRESSURE_t32,51.86091477298035,7.774672110278276e-13,0.149125150426031,0.0015950978477662033,0.00015432098765427726,0.1415217086292747,0.14532342952765287,119
1936,POTASSIUM_RESULT_h2,0.019838958192202428,0.8879987431771282,5.7046576167401233e-05,0.004565793376941174,0.003858024691357942,0.28989143469784506,0.14497424063700623,120
1655,RESPIRATION_RATE_t11,44.03546022498422,3.913558811562452e-11,0.12662319318654963,0.0019311869130200724,0.0007716049382715639,0.1629512165000002,0.1447872048432749,121
579,TEMPERATURE_t31,56.4587569224673,7.857727732623822e-14,0.1623461648485266,0.0004986749310428973,0.0004629629629629317,0.12600693261799675,0.1441765487332617,122
1661,RESPIRATION_RATE_t17,43.69829433115371,4.635950776876095e-11,0.12565367857509127,0.0017397036406302136,0.0009259259259258634,0.16259363355977854,0.1441236560674349,123
583,TEMPERATURE_t35,56.84407685011091,6.4866558691546e-14,0.1634541455392555,0.0013860277614951787,-0.0004629629629629761,0.12272702391254602,0.14309058472590075,124
566,TEMPERATURE_t18,52.62968331647976,5.296992259877853e-13,0.15133573088327892,0.0011135980938402864,0.00015432098765427726,0.1315336996683561,0.14143471527581752,125
299,PULSE_OXIMETRY_t25,31.268226203579378,2.482681363748951e-08,0.08991123578470524,0.0010965902679321018,0.0027777777777776903,0.1926266798198302,0.14126895780226773,126
1377,DIASTOLIC_BLOOD_PRESSURE_t7,23.715714095105053,1.1839328845742655e-06,0.06819411974074677,0.00301354146683866,0.002006172839506082,0.214318742906684,0.1412564313237154,127
1659,RESPIRATION_RATE_t15,39.10078999444038,4.693193367921361e-10,0.11243363552729864,0.0016826413076927954,0.0012345679012344957,0.16863887443290385,0.14053625498010125,128
850,SYSTOLIC_BLOOD_PRESSURE_t28,34.77774364650927,4.176935349727307e-09,0.10000279161033387,0.0008875116843198797,0.002469135802469058,0.18106073444438467,0.14053176302735926,129
1405,DIASTOLIC_BLOOD_PRESSURE_t35,31.544187954553347,2.1574244408109133e-08,0.09070475895732896,0.0009718564316576885,0.002777777777777701,0.19003925861290233,0.14037200878511563,130
1668,RESPIRATION_RATE_t24,36.59223240564325,1.6667034681993833e-09,0.10522032219838229,0.0014880631489245632,0.0016975308641974495,0.17544600820236803,0.14033316520037514,131
1664,RESPIRATION_RATE_t20,30.75418351813791,3.225355722262552e-08,0.0884331150626273,0.0022416616456658895,0.0016975308641974495,0.19107830806756224,0.13975571156509475,132
1380,DIASTOLIC_BLOOD_PRESSURE_t10,30.53659647807744,3.6033764745802135e-08,0.08780744734693406,0.0029406306821247365,0.001080246913580185,0.19111956837623,0.13946350786158204,133
844,SYSTOLIC_BLOOD_PRESSURE_t22,43.02026835028263,6.51842879654285e-11,0.123704026764421,0.0013023289539932886,0.0009259259259258634,0.1535209346564252,0.1386124807104231,134
290,PULSE_OXIMETRY_t16,63.18381261522576,2.7850487770794042e-15,0.18168394448847505,0.0013966096010001642,-0.0016975308641975495,0.09403086628896819,0.13785740538872163,135
283,PULSE_OXIMETRY_t9,20.789443902471035,5.364899653751957e-06,0.05977968114910214,0.0011660944082739473,0.0037037037037036093,0.21575518848963265,0.1377674348193674,136
1393,DIASTOLIC_BLOOD_PRESSURE_t23,39.8579200461646,3.203437941496779e-10,0.11461074970566765,0.0026694311793774655,-4.4408920985006264e-17,0.16019272627170256,0.1374017379886851,137
10,HEART_RATE_t10,0.005496029455249659,0.9409085276657795,1.5803736259720086e-05,0.004316767169036924,0.003395061728394966,0.27388237641377494,0.13694909007501732,138
1384,DIASTOLIC_BLOOD_PRESSURE_t14,53.24087493954595,3.9048182503502503e-13,0.15309320167082396,0.002309355690076217,-0.0013888888888889173,0.1201933660609116,0.13664328386586777,139
843,SYSTOLIC_BLOOD_PRESSURE_t21,42.81106062332289,7.24148592297092e-11,0.12310245361651707,0.0021859306409735563,-3.3306690738754695e-17,0.15016321395978122,0.13663283378814914,140
829,SYSTOLIC_BLOOD_PRESSURE_t7,36.2184052076033,2.0137165829549795e-09,0.1041453886499657,0.0028744133994907067,0.00015432098765428838,0.16805924076772927,0.13610231470884748,141
282,PULSE_OXIMETRY_t8,43.44489957550929,5.265522368107169e-11,0.1249250464015545,0.0009916615583973269,0.0009259259259258746,0.147076593396066,0.13600081989881024,142
1666,RESPIRATION_RATE_t22,34.71910389320834,4.302942523202361e-09,0.09983417402866902,0.0011444534799466804,0.0018518518518517713,0.17193278540994622,0.13588347971930761,143
297,PULSE_OXIMETRY_t23,41.442539571833066,1.4417153895786437e-10,0.11916729534640232,0.0008819191340390031,0.0012345679012345067,0.15202906273424477,0.13559817904032354,144
582,TEMPERATURE_t34,53.40013448587732,3.606641614732619e-13,0.15355114970177192,0.0005429400516480271,0.0,0.11608177446767962,0.13481646208472575,145
1656,RESPIRATION_RATE_t12,36.496481857483786,1.749420762098194e-09,0.10494499317728499,0.0019607058389045614,0.0007716049382715529,0.16356354349258304,0.134254268334934,146
576,TEMPERATURE_t28,49.10619820514082,3.0804378897983352e-12,0.1412040112722308,0.0008990188624426597,0.00015432098765428838,0.12708256699684045,0.13414328913453563,147
1952,PLATELET_COUNT_RESULT_h2,20.913609457025608,5.030762158361563e-06,0.06013671702249034,0.003262040784135393,0.0013888888888888284,0.20501566699310358,0.13257619200779697,148
1378,DIASTOLIC_BLOOD_PRESSURE_t8,29.40932499151766,6.40168307495324e-08,0.08456599796756858,0.0017160285630977332,0.0016975308641974385,0.18017481767937418,0.13237040782347137,149
585,TEMPERATURE_t37,45.138758454348576,2.248984254328201e-11,0.1297957078855085,0.0009060142624232552,0.0004629629629629317,0.13445659195590698,0.13212614992070776,150
1390,DIASTOLIC_BLOOD_PRESSURE_t20,35.05628464708518,3.6270763280894517e-09,0.10080373136992987,0.0028210568977832303,-1.1102230246251566e-17,0.16333798028646554,0.13207085582819772,151
1944,LEUKOCYTE_COUNT_RESULT_h2,6.043501529658486,0.014022645452323665,0.01737798260318804,0.006112619793915249,0.0006172839506172311,0.2460744750577756,0.13172622883048182,152
18,HEART_RATE_t18,16.106900992964917,6.156516418218904e-05,0.04631511117741601,0.0036474251783919914,0.001543209876543139,0.21662436103796975,0.13146973610769289,153
