Dataset,Model,Feature_Count,Training_Time,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC,Specificity,AUPRC,TN,FP,FN,TP
solid,XGBoost,1250,2.050323247909546,0.7993827160493827,0.8126463700234192,0.8740554156171285,0.8422330097087378,0.8843316908687668,0.5706547314129995,0.6812749003984063,0.9220529755190858,171,80,50,347
solid,RandomForest,1250,20.264983892440796,0.7916666666666666,0.7924107142857143,0.8942065491183879,0.8402366863905325,0.8641705219424568,0.5522697381912167,0.6294820717131474,0.9034215926307658,158,93,42,355
solid,LogisticRegression,1250,18.973397493362427,0.7407407407407407,0.7584650112866818,0.8463476070528967,0.8,0.804740734793822,0.44000457318020175,0.5737051792828686,0.8572830380739812,144,107,61,336
solid,SVM,1250,8.076925039291382,0.7561728395061729,0.8186666666666667,0.7732997481108312,0.7953367875647669,0.8194827741929009,0.4956446801333697,0.7290836653386454,0.8517212911437436,183,68,90,307
solid,DecisionTree,1250,0.09331393241882324,0.6898148148148148,0.6975806451612904,0.871536523929471,0.77491601343785,0.7466506768894197,0.31492291531050187,0.40239043824701193,0.8158707280217943,101,150,51,346
solid,BiLSTM,1250,27.204085111618042,0.7669753086419753,0.8360655737704918,0.7707808564231738,0.8020969855832241,0.8382339658996257,0.5224730865931826,0.7609561752988048,0.8937705028219508,191,60,91,306
solid,XGBoost,1500,2.8252220153808594,0.8024691358024691,0.8164705882352942,0.8740554156171285,0.8442822384428224,0.881009965177075,0.5775954571153674,0.6892430278884463,0.9162385197294907,173,78,50,347
solid,RandomForest,1500,22.663248777389526,0.7978395061728395,0.7982062780269058,0.8967254408060453,0.8446026097271648,0.8616717011049002,0.5659788151488769,0.6414342629482072,0.9039428467203893,161,90,41,356
solid,LogisticRegression,1500,20.705777883529663,0.7345679012345679,0.7528089887640449,0.8438287153652393,0.7957244655581948,0.8043292823667549,0.42597336491312815,0.5617529880478087,0.857080267417818,141,110,62,335
solid,SVM,1500,11.986583709716797,0.7623456790123457,0.824,0.7783375314861462,0.8005181347150259,0.8204361395726916,0.5084761358664323,0.7370517928286853,0.8550834425835265,185,66,88,309
solid,DecisionTree,1500,0.10141968727111816,0.7361111111111112,0.7545045045045045,0.8438287153652393,0.7966706302021404,0.7942737864662258,0.4295850856359192,0.5657370517928287,0.8322582586752626,142,109,62,335
solid,BiLSTM,1500,28.427736520767212,0.7669753086419753,0.8682634730538922,0.7304785894206549,0.7934336525307798,0.8508535129005389,0.5411625079090882,0.8247011952191236,0.8943912184746547,207,44,107,290
solid,XGBoost,1750,3.2318649291992188,0.808641975308642,0.815242494226328,0.889168765743073,0.8506024096385543,0.886539484379861,0.5901762089565692,0.6812749003984063,0.918400128313426,171,80,44,353
solid,RandomForest,1750,23.442291498184204,0.7839506172839507,0.7874720357941835,0.8866498740554156,0.8341232227488151,0.8614208154786396,0.5351605156204579,0.6215139442231076,0.9019702417405808,156,95,45,352
solid,LogisticRegression,1750,24.491557121276855,0.7376543209876543,0.755056179775281,0.8463476070528967,0.7980997624703088,0.8018204261041477,0.4328032731270019,0.5657370517928287,0.8552752762635711,142,109,61,336
solid,SVM,1750,14.698646783828735,0.7638888888888888,0.8210526315789474,0.7858942065491183,0.803088803088803,0.8227844290344918,0.5094029867640364,0.7290836653386454,0.8589776641916136,183,68,85,312
solid,DecisionTree,1750,0.08672928810119629,0.7222222222222222,0.7115009746588694,0.9193954659949622,0.8021978021978022,0.7868726604915351,0.3955456943796077,0.4103585657370518,0.8392734938134981,103,148,32,365
solid,BiLSTM,1750,29.73368811607361,0.7700617283950617,0.7719298245614035,0.8866498740554156,0.8253223915592028,0.8450430017963411,0.5038760145072434,0.5856573705179283,0.8965351896406406,147,104,45,352
solid,XGBoost,2000,3.2041797637939453,0.8209876543209876,0.833729216152019,0.8841309823677582,0.8581907090464548,0.8850843477475487,0.6180312551137171,0.7211155378486056,0.9198757415690977,181,70,46,351
solid,RandomForest,2000,25.040568828582764,0.7808641975308642,0.7814569536423841,0.8916876574307305,0.8329411764705882,0.8653045249731552,0.5281458878238884,0.6055776892430279,0.9055600305740881,152,99,43,354
solid,LogisticRegression,2000,30.05064868927002,0.7407407407407407,0.7584650112866818,0.8463476070528967,0.8,0.8039077945146367,0.44000457318020175,0.5737051792828686,0.8575670102041508,144,107,61,336
solid,SVM,2000,22.29140877723694,0.7638888888888888,0.8210526315789474,0.7858942065491183,0.803088803088803,0.824219494816703,0.5094029867640364,0.7290836653386454,0.8634896232094327,183,68,85,312
solid,DecisionTree,2000,0.11906599998474121,0.7083333333333334,0.7166666666666667,0.8664987405541562,0.7844925883694412,0.7677802643330958,0.36090571583203734,0.4581673306772908,0.8143889974229844,115,136,53,344
solid,BiLSTM,2000,30.22268271446228,0.7777777777777778,0.8428184281842819,0.783375314861461,0.8120104438642297,0.8488464278904534,0.5433648891297792,0.7689243027888446,0.8996414612496246,193,58,86,311
solid,XGBoost,2250,3.115481376647949,0.8132716049382716,0.823943661971831,0.8841309823677582,0.8529769137302552,0.8835087860146318,0.6008261032849406,0.701195219123506,0.9194214502155063,176,75,46,351
solid,RandomForest,2250,25.591461181640625,0.7885802469135802,0.7888888888888889,0.8942065491183879,0.8382526564344747,0.8683854004636367,0.5453906038850087,0.6215139442231076,0.9096156709039962,156,95,42,355
solid,LogisticRegression,2250,31.993643283843994,0.7438271604938271,0.7595505617977528,0.8513853904282116,0.8028503562945368,0.8041185384406957,0.4464630895547494,0.5737051792828686,0.856903945850019,144,107,59,338
solid,SVM,2250,27.028740406036377,0.7623456790123457,0.8188976377952756,0.7858942065491183,0.8020565552699229,0.8242696719419552,0.5057427122410115,0.7250996015936255,0.8607616213472181,182,69,85,312
solid,DecisionTree,2250,0.10534811019897461,0.7237654320987654,0.7379912663755459,0.8513853904282116,0.7906432748538011,0.7559685690487421,0.3994642667642439,0.5219123505976095,0.8233435604856951,131,120,59,338
solid,BiLSTM,2250,32.72643184661865,0.7870370370370371,0.8004640371229699,0.8690176322418136,0.8333333333333334,0.8460365088763335,0.5433375450726323,0.6573705179282868,0.8915820442595246,165,86,52,345
